"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"166",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,73.5,67.3,0.448905109489051
"167",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,70.6,68.7,0.27007299270073
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,71.1,69,0.821167883211679
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,73.8,65.7,0.726277372262774
"170",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,68.3,55.6,0.722627737226277
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,70.4,63.4,0.843065693430657
"172",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,72.4,68.4,0.981751824817518
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,74.3,68.6,0.547445255474453
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,73.2,63.2,0.240875912408759
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,71.5,68.8,0.722627737226277
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,75.3,69.3,0.686131386861314
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,75.4,66.3,0.693430656934307
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,72.2,69,0.762773722627737
"179",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,70.8,68.3,1
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,70.8,66.9,0.361313868613139
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,67.5,64.8,0.105839416058394
"182",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,68.2,62.4,0.251824817518248
"183",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,66.9,61.9,0.372262773722628
"184",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,67.4,60,0.682481751824818
"185",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,64.2,57.8,0.784671532846715
"186",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,65.3,60.4,0.72992700729927
"187",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,71.3,67.5,0.284671532846715
"188",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,74.2,65,0.145985401459854
"189",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,71.3,61.3,0.481751824817518
