"","Apr","Aug","Feb","Jan","Jul","Jun","Mar","May","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,66.4,64.3,0.302941176470588
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,67.8,62.5,0.230882352941176
"178",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,66.7,61.7,0.357352941176471
"179",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,66.6,63.7,0.263235294117647
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,68,65.1,0.216176470588235
"181",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,67.1,64.7,0.304411764705882
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,66.3,62.4,0.270588235294118
"183",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,64.4,61.5,0.244117647058824
"184",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,68.2,64.4,0.363235294117647
"185",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,69.5,66.2,0.307352941176471
"186",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,66.1,63.5,0.272058823529412
"187",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,63.1,61,0.291176470588235
"188",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,67.9,64.1,0.241176470588235
"189",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,60.1,56.3,0.219117647058824
"190",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,68.1,63.9,0.255882352941176
"191",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,70.9,67.4,0.322058823529412
"192",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,69.8,67.9,0.298529411764706
"193",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,70.3,68.1,0.266176470588235
"194",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,71.8,67.5,0.291176470588235
"195",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,70.3,67.5,0.289705882352941
"196",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,72,68,0.333823529411765
"197",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,66.5,60,0.257352941176471
"198",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,63.6,55.6,0.338235294117647
"199",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,62.6,59,0.314705882352941
"200",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,70.2,67.9,0.327941176470588
"201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,69.1,67.5,0.319117647058824
"202",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,71,69.4,0.276470588235294
"203",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,77.6,66.1,0.35
"204",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,72.7,68.1,0.288235294117647
"205",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,74.1,70.9,0.351470588235294
"206",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,73.7,69.7,0.320588235294118
"207",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,69.6,66.7,0.289705882352941
"208",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,75.1,71.3,0.320588235294118
"209",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,77,69.7,0.333823529411765
"210",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,76.5,72.1,0.301470588235294
"211",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,75.3,67.6,0.330882352941176
"212",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,74.4,72,0.302941176470588
"213",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,73.7,70.8,0.367647058823529
"214",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,72.6,66.2,0.414705882352941
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,71.9,66.9,0.280882352941176
"216",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,76.1,72.5,0.382352941176471
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,74.8,72.4,0.526470588235294
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,74.8,70.5,0.369117647058824
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,74.1,61.4,0.385294117647059
"220",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,69,65.6,0.357352941176471
"221",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,69.7,66.4,0.245588235294118
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,71.5,66.9,0.277941176470588
"223",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,74.3,70.7,0.333823529411765
